NIFTI File Name,x_position,y_position,z_position,real,synth_version
124_T1_MRI_SWI_BFC_50mm_HM_sCMB_V8.nii.gz,50,124,51,False,V8
124_T1_MRI_SWI_BFC_50mm_HM_sCMB_V9.nii.gz,81,69,39,False,V9
124_T1_MRI_SWI_BFC_50mm_HM_sCMB_V10.nii.gz,104,140,24,False,V10
124_T2_MRI_SWI_BFC_50mm_HM_sCMB_V1.nii.gz,144,157,35,False,V1
124_T2_MRI_SWI_BFC_50mm_HM_sCMB_V2.nii.gz,124,126,42,False,V2
124_T2_MRI_SWI_BFC_50mm_HM_sCMB_V3.nii.gz,66,132,42,False,V3
124_T2_MRI_SWI_BFC_50mm_HM_sCMB_V4.nii.gz,78,133,68,False,V4
124_T2_MRI_SWI_BFC_50mm_HM_sCMB_V5.nii.gz,90,87,51,False,V5
124_T2_MRI_SWI_BFC_50mm_HM_sCMB_V6.nii.gz,55,185,46,False,V6
124_T2_MRI_SWI_BFC_50mm_HM_sCMB_V7.nii.gz,74,170,56,False,V7
124_T2_MRI_SWI_BFC_50mm_HM_sCMB_V8.nii.gz,106,190,45,False,V8
124_T2_MRI_SWI_BFC_50mm_HM_sCMB_V9.nii.gz,114,83,53,False,V9
124_T2_MRI_SWI_BFC_50mm_HM_sCMB_V10.nii.gz,70,199,25,False,V10
124_T3_MRI_SWI_BFC_50mm_HM_sCMB_V1.nii.gz,42,132,47,False,V1
124_T3_MRI_SWI_BFC_50mm_HM_sCMB_V2.nii.gz,92,83,44,False,V2
124_T3_MRI_SWI_BFC_50mm_HM_sCMB_V3.nii.gz,76,133,65,False,V3
124_T3_MRI_SWI_BFC_50mm_HM_sCMB_V4.nii.gz,109,83,50,False,V4
124_T3_MRI_SWI_BFC_50mm_HM_sCMB_V5.nii.gz,89,99,45,False,V5
124_T3_MRI_SWI_BFC_50mm_HM_sCMB_V6.nii.gz,61,107,48,False,V6
124_T3_MRI_SWI_BFC_50mm_HM_sCMB_V7.nii.gz,89,186,60,False,V7
124_T3_MRI_SWI_BFC_50mm_HM_sCMB_V8.nii.gz,61,169,30,False,V8
124_T3_MRI_SWI_BFC_50mm_HM_sCMB_V9.nii.gz,106,96,41,False,V9
124_T3_MRI_SWI_BFC_50mm_HM_sCMB_V10.nii.gz,78,164,27,False,V10
124_T4_MRI_SWI_BFC_50mm_HM_sCMB_V1.nii.gz,95,146,14,False,V1
124_T4_MRI_SWI_BFC_50mm_HM_sCMB_V2.nii.gz,124,109,46,False,V2
124_T4_MRI_SWI_BFC_50mm_HM_sCMB_V3.nii.gz,116,98,33,False,V3
124_T4_MRI_SWI_BFC_50mm_HM_sCMB_V4.nii.gz,126,136,33,False,V4
124_T4_MRI_SWI_BFC_50mm_HM_sCMB_V5.nii.gz,60,89,49,False,V5
124_T4_MRI_SWI_BFC_50mm_HM_sCMB_V6.nii.gz,26,136,32,False,V6
124_T4_MRI_SWI_BFC_50mm_HM_sCMB_V7.nii.gz,125,102,46,False,V7
124_T4_MRI_SWI_BFC_50mm_HM_sCMB_V8.nii.gz,94,124,52,False,V8
124_T4_MRI_SWI_BFC_50mm_HM_sCMB_V9.nii.gz,109,94,33,False,V9
124_T4_MRI_SWI_BFC_50mm_HM_sCMB_V10.nii.gz,33,122,40,False,V10
124_T5_MRI_SWI_BFC_50mm_HM_sCMB_V1.nii.gz,108,169,29,False,V1
124_T5_MRI_SWI_BFC_50mm_HM_sCMB_V2.nii.gz,116,194,40,False,V2
124_T5_MRI_SWI_BFC_50mm_HM_sCMB_V3.nii.gz,68,80,53,False,V3
124_T5_MRI_SWI_BFC_50mm_HM_sCMB_V4.nii.gz,93,98,62,False,V4
124_T5_MRI_SWI_BFC_50mm_HM_sCMB_V5.nii.gz,108,201,48,False,V5
124_T5_MRI_SWI_BFC_50mm_HM_sCMB_V6.nii.gz,76,180,49,False,V6
124_T5_MRI_SWI_BFC_50mm_HM_sCMB_V7.nii.gz,114,79,45,False,V7
124_T5_MRI_SWI_BFC_50mm_HM_sCMB_V8.nii.gz,111,157,26,False,V8
124_T5_MRI_SWI_BFC_50mm_HM_sCMB_V9.nii.gz,96,77,54,False,V9
124_T5_MRI_SWI_BFC_50mm_HM_sCMB_V10.nii.gz,67,151,59,False,V10
124_T6_MRI_SWI_BFC_50mm_HM_sCMB_V1.nii.gz,149,159,37,False,V1
124_T6_MRI_SWI_BFC_50mm_HM_sCMB_V2.nii.gz,81,108,57,False,V2
124_T6_MRI_SWI_BFC_50mm_HM_sCMB_V3.nii.gz,75,103,44,False,V3
124_T6_MRI_SWI_BFC_50mm_HM_sCMB_V4.nii.gz,72,158,24,False,V4
124_T6_MRI_SWI_BFC_50mm_HM_sCMB_V5.nii.gz,125,166,28,False,V5
124_T6_MRI_SWI_BFC_50mm_HM_sCMB_V6.nii.gz,140,139,47,False,V6
124_T6_MRI_SWI_BFC_50mm_HM_sCMB_V7.nii.gz,64,122,59,False,V7
124_T6_MRI_SWI_BFC_50mm_HM_sCMB_V8.nii.gz,54,148,71,False,V8
124_T6_MRI_SWI_BFC_50mm_HM_sCMB_V9.nii.gz,78,169,17,False,V9
124_T6_MRI_SWI_BFC_50mm_HM_sCMB_V10.nii.gz,140,185,41,False,V10
13_T2_MRI_SWI_BFC_50mm_HM_sCMB_V1.nii.gz,94,161,15,False,V1
13_T2_MRI_SWI_BFC_50mm_HM_sCMB_V2.nii.gz,80,169,55,False,V2
13_T2_MRI_SWI_BFC_50mm_HM_sCMB_V3.nii.gz,79,168,19,False,V3
13_T2_MRI_SWI_BFC_50mm_HM_sCMB_V4.nii.gz,63,155,22,False,V4
13_T2_MRI_SWI_BFC_50mm_HM_sCMB_V5.nii.gz,53,108,27,False,V5
13_T2_MRI_SWI_BFC_50mm_HM_sCMB_V6.nii.gz,81,120,31,False,V6
13_T2_MRI_SWI_BFC_50mm_HM_sCMB_V7.nii.gz,151,137,32,False,V7
13_T2_MRI_SWI_BFC_50mm_HM_sCMB_V8.nii.gz,91,87,34,False,V8
13_T2_MRI_SWI_BFC_50mm_HM_sCMB_V9.nii.gz,73,173,31,False,V9
13_T2_MRI_SWI_BFC_50mm_HM_sCMB_V10.nii.gz,29,121,35,False,V10
13_T3_MRI_SWI_BFC_50mm_HM_sCMB_V1.nii.gz,120,161,32,False,V1
13_T3_MRI_SWI_BFC_50mm_HM_sCMB_V2.nii.gz,43,167,55,False,V2
13_T3_MRI_SWI_BFC_50mm_HM_sCMB_V3.nii.gz,130,95,28,False,V3
13_T3_MRI_SWI_BFC_50mm_HM_sCMB_V4.nii.gz,51,179,47,False,V4
13_T3_MRI_SWI_BFC_50mm_HM_sCMB_V5.nii.gz,100,83,38,False,V5
13_T3_MRI_SWI_BFC_50mm_HM_sCMB_V6.nii.gz,119,181,45,False,V6
13_T3_MRI_SWI_BFC_50mm_HM_sCMB_V7.nii.gz,116,185,34,False,V7
13_T3_MRI_SWI_BFC_50mm_HM_sCMB_V8.nii.gz,83,66,45,False,V8
13_T3_MRI_SWI_BFC_50mm_HM_sCMB_V9.nii.gz,79,80,56,False,V9
13_T3_MRI_SWI_BFC_50mm_HM_sCMB_V10.nii.gz,42,153,53,False,V10
133_T1_MRI_SWI_BFC_50mm_HM_sCMB_V1.nii.gz,115,164,26,False,V1
133_T1_MRI_SWI_BFC_50mm_HM_sCMB_V2.nii.gz,103,189,30,False,V2
133_T1_MRI_SWI_BFC_50mm_HM_sCMB_V3.nii.gz,126,140,53,False,V3
133_T1_MRI_SWI_BFC_50mm_HM_sCMB_V4.nii.gz,54,139,43,False,V4
133_T1_MRI_SWI_BFC_50mm_HM_sCMB_V5.nii.gz,87,84,52,False,V5
133_T1_MRI_SWI_BFC_50mm_HM_sCMB_V6.nii.gz,126,118,28,False,V6
133_T1_MRI_SWI_BFC_50mm_HM_sCMB_V7.nii.gz,97,201,40,False,V7
133_T1_MRI_SWI_BFC_50mm_HM_sCMB_V8.nii.gz,68,115,43,False,V8
133_T1_MRI_SWI_BFC_50mm_HM_sCMB_V9.nii.gz,137,106,45,False,V9
133_T1_MRI_SWI_BFC_50mm_HM_sCMB_V10.nii.gz,77,143,32,False,V10
136_T1_MRI_SWI_BFC_50mm_HM_sCMB_V1.nii.gz,52,153,21,False,V1
136_T1_MRI_SWI_BFC_50mm_HM_sCMB_V2.nii.gz,83,147,61,False,V2
136_T1_MRI_SWI_BFC_50mm_HM_sCMB_V3.nii.gz,99,131,27,False,V3
136_T1_MRI_SWI_BFC_50mm_HM_sCMB_V4.nii.gz,62,178,48,False,V4
136_T1_MRI_SWI_BFC_50mm_HM_sCMB_V5.nii.gz,120,185,15,False,V5
136_T1_MRI_SWI_BFC_50mm_HM_sCMB_V6.nii.gz,139,101,49,False,V6
136_T1_MRI_SWI_BFC_50mm_HM_sCMB_V7.nii.gz,118,75,42,False,V7
136_T1_MRI_SWI_BFC_50mm_HM_sCMB_V8.nii.gz,98,74,51,False,V8
136_T1_MRI_SWI_BFC_50mm_HM_sCMB_V9.nii.gz,129,114,61,False,V9
136_T1_MRI_SWI_BFC_50mm_HM_sCMB_V10.nii.gz,109,166,50,False,V10
136_T2_MRI_SWI_BFC_50mm_HM_sCMB_V1.nii.gz,49,147,43,False,V1
136_T2_MRI_SWI_BFC_50mm_HM_sCMB_V2.nii.gz,88,192,53,False,V2
136_T2_MRI_SWI_BFC_50mm_HM_sCMB_V3.nii.gz,136,90,29,False,V3
136_T2_MRI_SWI_BFC_50mm_HM_sCMB_V4.nii.gz,73,74,48,False,V4
136_T2_MRI_SWI_BFC_50mm_HM_sCMB_V5.nii.gz,141,185,33,False,V5
136_T2_MRI_SWI_BFC_50mm_HM_sCMB_V6.nii.gz,72,118,40,False,V6
136_T2_MRI_SWI_BFC_50mm_HM_sCMB_V7.nii.gz,90,132,33,False,V7
136_T2_MRI_SWI_BFC_50mm_HM_sCMB_V8.nii.gz,71,61,44,False,V8
136_T2_MRI_SWI_BFC_50mm_HM_sCMB_V9.nii.gz,79,86,38,False,V9
136_T2_MRI_SWI_BFC_50mm_HM_sCMB_V10.nii.gz,124,196,28,False,V10
136_T3_MRI_SWI_BFC_50mm_HM_sCMB_V1.nii.gz,86,187,53,False,V1
136_T3_MRI_SWI_BFC_50mm_HM_sCMB_V2.nii.gz,117,121,38,False,V2
136_T3_MRI_SWI_BFC_50mm_HM_sCMB_V3.nii.gz,89,150,17,False,V3
136_T3_MRI_SWI_BFC_50mm_HM_sCMB_V4.nii.gz,42,131,46,False,V4
136_T3_MRI_SWI_BFC_50mm_HM_sCMB_V5.nii.gz,120,110,64,False,V5
136_T3_MRI_SWI_BFC_50mm_HM_sCMB_V6.nii.gz,62,98,33,False,V6
136_T3_MRI_SWI_BFC_50mm_HM_sCMB_V7.nii.gz,136,106,43,False,V7
136_T3_MRI_SWI_BFC_50mm_HM_sCMB_V8.nii.gz,71,192,52,False,V8
136_T3_MRI_SWI_BFC_50mm_HM_sCMB_V9.nii.gz,77,132,61,False,V9
136_T3_MRI_SWI_BFC_50mm_HM_sCMB_V10.nii.gz,50,161,36,False,V10
138_T1_MRI_SWI_BFC_50mm_HM_sCMB_V1.nii.gz,31,82,50,False,V1
138_T1_MRI_SWI_BFC_50mm_HM_sCMB_V2.nii.gz,57,100,59,False,V2
138_T1_MRI_SWI_BFC_50mm_HM_sCMB_V3.nii.gz,53,144,59,False,V3
138_T1_MRI_SWI_BFC_50mm_HM_sCMB_V4.nii.gz,78,154,58,False,V4
138_T1_MRI_SWI_BFC_50mm_HM_sCMB_V5.nii.gz,125,142,55,False,V5
138_T1_MRI_SWI_BFC_50mm_HM_sCMB_V6.nii.gz,111,170,12,False,V6
138_T1_MRI_SWI_BFC_50mm_HM_sCMB_V7.nii.gz,100,105,45,False,V7
138_T1_MRI_SWI_BFC_50mm_HM_sCMB_V8.nii.gz,88,58,33,False,V8
138_T1_MRI_SWI_BFC_50mm_HM_sCMB_V9.nii.gz,117,138,52,False,V9
138_T1_MRI_SWI_BFC_50mm_HM_sCMB_V10.nii.gz,40,132,45,False,V10
14_T2_MRI_SWI_BFC_50mm_HM_sCMB_V1.nii.gz,110,174,50,False,V1
14_T2_MRI_SWI_BFC_50mm_HM_sCMB_V2.nii.gz,133,183,32,False,V2
14_T2_MRI_SWI_BFC_50mm_HM_sCMB_V3.nii.gz,94,66,51,False,V3
14_T2_MRI_SWI_BFC_50mm_HM_sCMB_V4.nii.gz,61,172,34,False,V4
14_T2_MRI_SWI_BFC_50mm_HM_sCMB_V5.nii.gz,95,61,34,False,V5
14_T2_MRI_SWI_BFC_50mm_HM_sCMB_V6.nii.gz,66,78,26,False,V6
14_T2_MRI_SWI_BFC_50mm_HM_sCMB_V7.nii.gz,116,88,32,False,V7
14_T2_MRI_SWI_BFC_50mm_HM_sCMB_V8.nii.gz,95,130,58,False,V8
14_T2_MRI_SWI_BFC_50mm_HM_sCMB_V9.nii.gz,133,201,34,False,V9
14_T2_MRI_SWI_BFC_50mm_HM_sCMB_V10.nii.gz,113,197,52,False,V10
14_T3_MRI_SWI_BFC_50mm_HM_sCMB_V1.nii.gz,121,170,56,False,V1
14_T3_MRI_SWI_BFC_50mm_HM_sCMB_V2.nii.gz,114,205,25,False,V2
14_T3_MRI_SWI_BFC_50mm_HM_sCMB_V3.nii.gz,66,160,10,False,V3
14_T3_MRI_SWI_BFC_50mm_HM_sCMB_V4.nii.gz,111,148,65,False,V4
14_T3_MRI_SWI_BFC_50mm_HM_sCMB_V5.nii.gz,27,145,58,False,V5
14_T3_MRI_SWI_BFC_50mm_HM_sCMB_V6.nii.gz,125,154,48,False,V6
14_T3_MRI_SWI_BFC_50mm_HM_sCMB_V7.nii.gz,109,115,30,False,V7
14_T3_MRI_SWI_BFC_50mm_HM_sCMB_V8.nii.gz,104,167,29,False,V8
14_T3_MRI_SWI_BFC_50mm_HM_sCMB_V9.nii.gz,58,118,27,False,V9
14_T3_MRI_SWI_BFC_50mm_HM_sCMB_V10.nii.gz,109,105,37,False,V10
14_T4_MRI_SWI_BFC_50mm_HM_sCMB_V1.nii.gz,142,128,41,False,V1
14_T4_MRI_SWI_BFC_50mm_HM_sCMB_V2.nii.gz,52,111,61,False,V2
14_T4_MRI_SWI_BFC_50mm_HM_sCMB_V3.nii.gz,47,118,38,False,V3
14_T4_MRI_SWI_BFC_50mm_HM_sCMB_V4.nii.gz,74,207,52,False,V4
14_T4_MRI_SWI_BFC_50mm_HM_sCMB_V5.nii.gz,74,172,58,False,V5
14_T4_MRI_SWI_BFC_50mm_HM_sCMB_V6.nii.gz,53,120,16,False,V6
14_T4_MRI_SWI_BFC_50mm_HM_sCMB_V7.nii.gz,142,153,45,False,V7
14_T4_MRI_SWI_BFC_50mm_HM_sCMB_V8.nii.gz,81,52,30,False,V8
14_T4_MRI_SWI_BFC_50mm_HM_sCMB_V9.nii.gz,123,77,48,False,V9
14_T4_MRI_SWI_BFC_50mm_HM_sCMB_V10.nii.gz,75,132,41,False,V10
14_T5_MRI_SWI_BFC_50mm_HM_sCMB_V1.nii.gz,95,96,54,False,V1
14_T5_MRI_SWI_BFC_50mm_HM_sCMB_V2.nii.gz,104,154,56,False,V2
14_T5_MRI_SWI_BFC_50mm_HM_sCMB_V3.nii.gz,108,173,51,False,V3
14_T5_MRI_SWI_BFC_50mm_HM_sCMB_V4.nii.gz,36,127,44,False,V4
14_T5_MRI_SWI_BFC_50mm_HM_sCMB_V5.nii.gz,119,112,37,False,V5
14_T5_MRI_SWI_BFC_50mm_HM_sCMB_V6.nii.gz,68,199,38,False,V6
14_T5_MRI_SWI_BFC_50mm_HM_sCMB_V7.nii.gz,93,118,70,False,V7
14_T5_MRI_SWI_BFC_50mm_HM_sCMB_V8.nii.gz,57,115,30,False,V8
14_T5_MRI_SWI_BFC_50mm_HM_sCMB_V9.nii.gz,79,156,59,False,V9
14_T5_MRI_SWI_BFC_50mm_HM_sCMB_V10.nii.gz,116,69,47,False,V10
14_T6_MRI_SWI_BFC_50mm_HM_sCMB_V1.nii.gz,77,191,40,False,V1
14_T6_MRI_SWI_BFC_50mm_HM_sCMB_V2.nii.gz,107,88,53,False,V2
14_T6_MRI_SWI_BFC_50mm_HM_sCMB_V3.nii.gz,99,85,47,False,V3
14_T6_MRI_SWI_BFC_50mm_HM_sCMB_V4.nii.gz,43,100,57,False,V4
14_T6_MRI_SWI_BFC_50mm_HM_sCMB_V5.nii.gz,137,113,46,False,V5
14_T6_MRI_SWI_BFC_50mm_HM_sCMB_V6.nii.gz,30,103,37,False,V6
14_T6_MRI_SWI_BFC_50mm_HM_sCMB_V7.nii.gz,48,181,47,False,V7
14_T6_MRI_SWI_BFC_50mm_HM_sCMB_V8.nii.gz,80,121,60,False,V8
14_T6_MRI_SWI_BFC_50mm_HM_sCMB_V9.nii.gz,125,129,33,False,V9
14_T6_MRI_SWI_BFC_50mm_HM_sCMB_V10.nii.gz,55,192,45,False,V10
14_T7_MRI_SWI_BFC_50mm_HM_sCMB_V1.nii.gz,41,143,52,False,V1
14_T7_MRI_SWI_BFC_50mm_HM_sCMB_V2.nii.gz,101,185,38,False,V2
14_T7_MRI_SWI_BFC_50mm_HM_sCMB_V3.nii.gz,105,106,58,False,V3
14_T7_MRI_SWI_BFC_50mm_HM_sCMB_V4.nii.gz,55,169,10,False,V4
14_T7_MRI_SWI_BFC_50mm_HM_sCMB_V5.nii.gz,73,59,43,False,V5
14_T7_MRI_SWI_BFC_50mm_HM_sCMB_V6.nii.gz,72,193,47,False,V6
14_T7_MRI_SWI_BFC_50mm_HM_sCMB_V7.nii.gz,56,163,17,False,V7
14_T7_MRI_SWI_BFC_50mm_HM_sCMB_V8.nii.gz,70,176,51,False,V8
14_T7_MRI_SWI_BFC_50mm_HM_sCMB_V9.nii.gz,68,179,29,False,V9
14_T7_MRI_SWI_BFC_50mm_HM_sCMB_V10.nii.gz,105,79,55,False,V10
142_T1_MRI_SWI_BFC_50mm_HM_sCMB_V1.nii.gz,121,139,59,False,V1
142_T1_MRI_SWI_BFC_50mm_HM_sCMB_V2.nii.gz,111,86,38,False,V2
142_T1_MRI_SWI_BFC_50mm_HM_sCMB_V3.nii.gz,98,56,53,False,V3
142_T1_MRI_SWI_BFC_50mm_HM_sCMB_V4.nii.gz,79,202,21,False,V4
142_T1_MRI_SWI_BFC_50mm_HM_sCMB_V5.nii.gz,57,111,44,False,V5
142_T1_MRI_SWI_BFC_50mm_HM_sCMB_V6.nii.gz,119,86,40,False,V6
142_T1_MRI_SWI_BFC_50mm_HM_sCMB_V7.nii.gz,108,149,32,False,V7
142_T1_MRI_SWI_BFC_50mm_HM_sCMB_V8.nii.gz,130,193,34,False,V8
142_T1_MRI_SWI_BFC_50mm_HM_sCMB_V9.nii.gz,90,172,23,False,V9
142_T1_MRI_SWI_BFC_50mm_HM_sCMB_V10.nii.gz,81,201,24,False,V10
153_T1_MRI_SWI_BFC_50mm_HM_sCMB_V1.nii.gz,43,173,15,False,V1
153_T1_MRI_SWI_BFC_50mm_HM_sCMB_V2.nii.gz,63,94,57,False,V2
153_T1_MRI_SWI_BFC_50mm_HM_sCMB_V3.nii.gz,58,95,58,False,V3
153_T1_MRI_SWI_BFC_50mm_HM_sCMB_V4.nii.gz,74,67,45,False,V4
153_T1_MRI_SWI_BFC_50mm_HM_sCMB_V5.nii.gz,104,117,44,False,V5
153_T1_MRI_SWI_BFC_50mm_HM_sCMB_V6.nii.gz,74,159,26,False,V6
153_T1_MRI_SWI_BFC_50mm_HM_sCMB_V7.nii.gz,69,130,38,False,V7
153_T1_MRI_SWI_BFC_50mm_HM_sCMB_V8.nii.gz,43,180,46,False,V8
153_T1_MRI_SWI_BFC_50mm_HM_sCMB_V9.nii.gz,94,179,17,False,V9
153_T1_MRI_SWI_BFC_50mm_HM_sCMB_V10.nii.gz,59,191,48,False,V10
153_T2_MRI_SWI_BFC_50mm_HM_sCMB_V1.nii.gz,44,183,19,False,V1
153_T2_MRI_SWI_BFC_50mm_HM_sCMB_V2.nii.gz,62,60,43,False,V2
153_T2_MRI_SWI_BFC_50mm_HM_sCMB_V3.nii.gz,50,96,41,False,V3
153_T2_MRI_SWI_BFC_50mm_HM_sCMB_V4.nii.gz,63,118,39,False,V4
153_T2_MRI_SWI_BFC_50mm_HM_sCMB_V5.nii.gz,108,60,41,False,V5
153_T2_MRI_SWI_BFC_50mm_HM_sCMB_V6.nii.gz,46,66,45,False,V6
153_T2_MRI_SWI_BFC_50mm_HM_sCMB_V7.nii.gz,63,206,43,False,V7
153_T2_MRI_SWI_BFC_50mm_HM_sCMB_V8.nii.gz,62,210,35,False,V8
153_T2_MRI_SWI_BFC_50mm_HM_sCMB_V9.nii.gz,72,116,61,False,V9
153_T2_MRI_SWI_BFC_50mm_HM_sCMB_V10.nii.gz,94,137,63,False,V10
157_T2_MRI_SWI_BFC_50mm_HM_sCMB_V1.nii.gz,121,90,46,False,V1
157_T2_MRI_SWI_BFC_50mm_HM_sCMB_V2.nii.gz,122,108,62,False,V2
157_T2_MRI_SWI_BFC_50mm_HM_sCMB_V3.nii.gz,34,157,59,False,V3
157_T2_MRI_SWI_BFC_50mm_HM_sCMB_V4.nii.gz,69,173,18,False,V4
157_T2_MRI_SWI_BFC_50mm_HM_sCMB_V5.nii.gz,122,175,18,False,V5
157_T2_MRI_SWI_BFC_50mm_HM_sCMB_V6.nii.gz,56,160,55,False,V6
157_T2_MRI_SWI_BFC_50mm_HM_sCMB_V7.nii.gz,48,83,48,False,V7
157_T2_MRI_SWI_BFC_50mm_HM_sCMB_V8.nii.gz,125,178,51,False,V8
157_T2_MRI_SWI_BFC_50mm_HM_sCMB_V9.nii.gz,68,180,27,False,V9
157_T2_MRI_SWI_BFC_50mm_HM_sCMB_V10.nii.gz,23,119,40,False,V10
157_T3_MRI_SWI_BFC_50mm_HM_sCMB_V1.nii.gz,71,131,45,False,V1
157_T3_MRI_SWI_BFC_50mm_HM_sCMB_V2.nii.gz,136,143,47,False,V2
157_T3_MRI_SWI_BFC_50mm_HM_sCMB_V3.nii.gz,106,80,38,False,V3
157_T3_MRI_SWI_BFC_50mm_HM_sCMB_V4.nii.gz,32,123,39,False,V4
